                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4822,                 1.5523,                 1.4986,                 1.5122,                 3.4291,                 1.4121,                0.43803,                   0.45,                0.39232,                0.19489,                 1.9133,                 3.7804,                 2.5406,                 1.8778,                 6.9943,                 2.7826,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.4825,                 1.4641,                 1.4543,                 1.4788,                 3.0795,                 1.3573,                0.46959,                0.47992,                 0.4975,                0.22044,                 1.9567,                  4.947,                 2.5402,                 1.8237,                 6.7944,                  2.249,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.4938,                 1.5273,                 1.5053,                 1.4862,                 3.1755,                 1.4136,                0.65056,                    0.6,                0.66846,                0.30743,                 1.8079,                  3.939,                 2.1751,                 1.8385,                 5.8888,                 2.2548,              0.0012709,              0.0012709,              0.0012709
                     27,                  1.429,                 1.4904,                  1.462,                 1.4587,                 2.9654,                 1.3732,                0.61143,                   0.55,                0.57245,                0.21747,                 1.9337,                 3.8114,                  2.298,                 2.0038,                 6.3049,                 2.6349,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.4587,                 1.5415,                 1.4858,                 1.4743,                 2.9184,                 1.3981,                0.67735,                 0.4847,                0.41254,                 0.1697,                  1.985,                 4.4066,                 2.3467,                  1.839,                 6.3844,                 2.4831,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.4114,                 1.3802,                 1.4377,                 1.3865,                  2.766,                 1.3361,                0.69572,                0.53097,                0.59316,                0.18856,                 2.5235,                 3.7156,                 2.7973,                 2.3238,                 6.3494,                 2.7844,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.3766,                 1.3569,                  1.416,                 1.4449,                 2.6357,                 1.3907,                0.60663,                0.53961,                0.42649,                0.19399,                 1.8502,                 3.7324,                 2.1761,                 1.7526,                 5.4609,                 2.0292,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.4271,                 1.2941,                 1.4172,                 1.4654,                 2.4691,                 1.3622,                0.53731,                  0.525,                0.50003,                0.23425,                 1.8325,                 2.4933,                 2.1873,                 1.6762,                 4.5836,                 1.9714,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.3319,                 1.2717,                 1.3638,                 1.3608,                    2.3,                  1.329,                0.71627,                0.57587,                0.65483,                0.28767,                 1.9387,                  2.495,                 2.3713,                 1.7008,                 4.4773,                 2.0601,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.4021,                 1.2714,                 1.4088,                 1.4257,                 2.4354,                 1.3477,                0.56614,                0.70877,                0.72937,                0.29311,                 2.0253,                 2.3057,                 2.4651,                 1.9005,                 3.8415,                 2.1893,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.4529,                 1.2606,                 1.4269,                 1.5011,                 2.3838,                 1.4033,                0.89072,                 0.6959,                0.79985,                0.41729,                 1.7444,                  2.332,                 1.8979,                 1.6793,                 3.8161,                 1.7855,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.4272,                 1.2045,                  1.422,                 1.4263,                 2.2106,                 1.3984,                0.71082,                    0.7,                0.74545,                0.37909,                 1.6589,                  2.175,                 1.7899,                 1.6608,                 3.7309,                 1.7619,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.3701,                 1.1753,                 1.3972,                 1.4532,                 2.1859,                 1.3792,                0.65916,                  0.625,                0.67138,                0.33651,                 1.7203,                 2.4604,                 1.9455,                 1.5922,                 3.6996,                 1.8203,              0.0011059,              0.0011059,              0.0011059
